departurePort,arrivalPort,date,metadata,id
AMA,ATL,2025-01-28,"{""prices"": [""Unavailable"", ""Unavailable"", ""Unavailable""], ""arrTime"": ""2:00 PM"", ""deptTime"": ""7:15 AM"", ""duration"": ""5h 45m"", ""numStops"": ""1"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2301"", ""713""], ""planeChange"": ""DAL""}",21
AMA,ATL,2025-01-28,"{""prices"": [""574"", ""524"", ""464""], ""arrTime"": ""7:25 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""6h 20m"", ""numStops"": ""1"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2432"", ""3260""], ""planeChange"": ""DAL""}",22
AMA,ATL,2025-01-28,"{""prices"": [""579"", ""529"", ""469""], ""arrTime"": ""9:30 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""8h 25m"", ""numStops"": ""1"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2432"", ""4087""], ""planeChange"": ""DAL""}",23
AMA,ATL,2025-01-28,"{""prices"": [""792"", ""742"", ""464""], ""arrTime"": ""12:45 AM"", ""deptTime"": ""4:45 PM"", ""duration"": ""7h 0m"", ""numStops"": ""1"", ""seatsLeft"": [null, null, null], ""flightNums"": [""4855"", ""2298""], ""planeChange"": ""LAS""}",24
AMA,ATL,2025-01-28,"{""prices"": [""579"", ""529"", ""469""], ""arrTime"": ""7:45 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""6h 40m"", ""numStops"": ""2"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2432"", ""3831"", ""/"", ""854""], ""planeChange"": ""DAL,AUS""}",25
AMA,ATL,2025-01-28,"{""prices"": [""579"", ""529"", ""469""], ""arrTime"": ""8:40 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""7h 35m"", ""numStops"": ""2"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2432"", ""3917"", ""/"", ""3678""], ""planeChange"": ""DAL,STL""}",26
AMA,ATL,2025-01-28,"{""prices"": [""579"", ""529"", ""469""], ""arrTime"": ""9:00 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""7h 55m"", ""numStops"": ""2"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2432"", ""2564"", ""/"", ""400""], ""planeChange"": ""DAL,MDW""}",27
AMA,ATL,2025-01-28,"{""prices"": [""Unavailable"", ""747"", ""469""], ""arrTime"": ""9:30 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""8h 25m"", ""numStops"": ""2"", ""seatsLeft"": [null, null, null], ""flightNums"": [""2432"", ""33"", ""/"", ""1913""], ""planeChange"": ""DAL,HOU""}",28
AMA,ATL,2025-01-28,"{""prices"": [""579"", ""529"", ""469""], ""arrTime"": ""9:30 PM"", ""deptTime"": ""12:05 PM"", ""duration"": ""8h 25m"", ""numStops"": ""2"", ""seatsLeft"": [""1"", null, null], ""flightNums"": [""2432"", ""39"", ""/"", ""1913""], ""planeChange"": ""DAL,HOU""}",29
